speaker,index,word,time,word.dur,voicing.dur,vowel.dur,cluster.dur,spreading.dur,sonorant.dur,closure.dur,vor,voffr,mor,cond_no,ipa,cons1,vowel,height,anteroposterior,roundness,consonant,manner,place,aspiration,syllables,syl_structure,gloss,pos,comp,contx
shg05,114,kokk,312.0139285714286,350.75113378684364,86.12661588853143,77.59983209462007,154.28653550605986,77.37591332829652,85.90269712220788,68.38383838385198,231.88636760067993,145.7597517121485,154.28653550605986,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
shg05,115,kokk,314.331731670446,359.34019419732977,104.9151927437606,81.97040636360953,149.25460855465644,62.89682539681962,85.8416117769707,63.41299677768575,231.22501491826597,126.30982217450537,149.25460855465644,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
tt01,37,kokk,119.19929120035111,560.1532440933426,85.9332554570642,79.04964828775007,191.91659005944928,95.16903731190496,102.05264448121909,89.86394557823019,270.96623834719935,185.03298289013514,191.91659005944928,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
tt01,38,kokk,122.31784282133907,524.0415324024355,115.30592011165197,83.88650222927652,231.9394178823586,108.19069790878189,139.61011579115734,92.32930209120127,315.8259201116351,200.51999999998316,231.9394178823586,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
tt01,39,kokk,125.5569249181154,560.0629881582364,107.3863916068376,81.96280308703763,239.47398418826538,106.59385749764283,132.0174460174428,107.45653817082257,321.436787275303,214.0503956684654,239.47398418826538,1,kʰoʰk,asp,o,mid,back,round,ʰk,stop,velar,yes,mono,cvcc,cook,n,c,cc
brs02,102,gogg,336.1184693877551,368.72367994817523,109.48264051387468,109.48264051387468,122.07976222498473,NA,NA,122.07976222498473,231.56240273885942,122.07976222498473,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
brs02,103,gogg,338.5915001172883,379.05277053346254,114.42490011876316,114.42490011876316,143.4799811319749,NA,NA,143.4799811319749,257.9048812507381,143.4799811319749,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
brs02,104,gogg,341.18799552299555,412.3219373219058,107.28181457506025,107.28181457506025,142.77936321411744,NA,NA,142.77936321411744,250.0611777891777,142.77936321411744,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
bte03,4,gogg,64.25130385487529,557.2902494331089,100.47250941720165,100.47250941720165,237.50268065883517,NA,NA,237.50268065883517,337.9751900760368,237.50268065883517,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
bte03,5,gogg,69.46999433106576,583.5479429867263,110.6118630290922,110.6118630290922,213.445921004066,NA,NA,213.445921004066,324.0577840331582,213.445921004066,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
bte03,6,gogg,73.80825774754346,456.4811379097051,108.3912083352061,108.3912083352061,209.66970121381223,NA,NA,209.66970121381223,318.06090954901833,209.66970121381223,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
jj04,57,gogg,203.4503691106072,444.78206097252837,98.92599941210278,98.92599941210278,177.3455215419517,NA,NA,177.3455215419517,276.2715209540545,177.3455215419517,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
jj04,58,gogg,205.48376543209875,428.40860418243665,104.07878802652704,104.07878802652704,149.97480473672908,NA,NA,149.97480473672908,254.05359276325612,149.97480473672908,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
jj04,59,gogg,207.66525915127954,399.44606413996553,105.05558500457823,105.05558500457823,152.06430191122422,NA,NA,152.06430191122422,257.11988691580245,152.06430191122422,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
shg05,131,gogg,353.8471526832955,284.59247630684104,90.81941867651722,90.81941867651722,95.47484261770478,NA,NA,95.47484261770478,186.294261294222,95.47484261770478,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
shg05,132,gogg,356.28891558774046,289.5847214741707,100.51126311327607,100.51126311327607,89.09147541800166,NA,NA,89.09147541800166,189.60273853127774,89.09147541800166,NA,2,kokk,nasp,o,mid,back,round,kk,stop,velar,no,mono,cvcc,beak,n,c,cc
